system,warning_code,message,cause,remedy,scenario,source
PX4,angular_velocity_invalid,failsafe_flags.angular_velocity_invalid = true,IMU 각속도 데이터 손상,,,HealthAndArmingChecks.cpp
PX4,attitude_invalid,failsafe_flags.attitude_invalid = true,자세 데이터(roll/pitch/yaw) 오류,,,HealthAndArmingChecks.cpp
PX4,local_altitude_invalid,failsafe_flags.local_altitude_invalid = true,로컬 고도 측정 오류,,,HealthAndArmingChecks.cpp
PX4,local_position_invalid,failsafe_flags.local_position_invalid = true,로컬 위치 추정 실패,,,HealthAndArmingChecks.cpp
PX4,local_position_invalid_relaxed,failsafe_flags.local_position_invalid_relaxed = true,local position invalid relaxed,,,HealthAndArmingChecks.cpp
PX4,local_velocity_invalid,failsafe_flags.local_velocity_invalid = true,로컬 속도 추정 실패,,,HealthAndArmingChecks.cpp
PX4,global_position_invalid,failsafe_flags.global_position_invalid = true,글로벌 위치(GPS) 추정 실패,,,HealthAndArmingChecks.cpp
PX4,global_position_invalid_relaxed,failsafe_flags.global_position_invalid_relaxed = true,global position invalid relaxed,,,HealthAndArmingChecks.cpp
PX4,auto_mission_missing,failsafe_flags.auto_mission_missing = true,자동 미션 없음,,,HealthAndArmingChecks.cpp
PX4,offboard_control_signal_lost,failsafe_flags.offboard_control_signal_lost = true,오프보드 제어 신호 손실,,,HealthAndArmingChecks.cpp
PX4,home_position_invalid,failsafe_flags.home_position_invalid = true,home position invalid,,,HealthAndArmingChecks.cpp
PX4,COM_DL_LOSS_T,GCS 연결 손실,텔레메트리/Datamavlink 신호 끊김,"COM_DL_LOSS_T 값을 늘리거나, 안테나/배선 점검",GCS와 통신 장애 시,commander_params.yaml
PX4,COM_GNSSLOSS_ACT,GNSS 손실 실패 안전 모드,GPS 신호 손실/위성 수 부족,실내 비행 시 EKF2_AID_MASK에서 비전/레이더 활성화,실내/도심 비행 시 GNSS 차단,commander_params.yaml
PX4,EKF2_GPS_POS,EKF2 GPS 위치 추정 실패,GPS 신호 약화 또는 EKF2 innovation 초과,"EKF2_GPS_POS_DEV 파라미터 확인, GPS 안테나 교체",GNSS-Denied 환경에서 위치 추정 실패,ekf2_params.yaml
PX4,EKF2_MAG_CAL,자력계 캘리브레이션 필요,자기장 왜곡 또는 캘리브레이션 안됨,MAG 캘리브레이션 재수행 (자기장 환경 확인),"자기장이 강하게 왜곡된 환경(금속, 전자파)",ekf2_params.yaml
PX4,EKF2_ACC_NOISE,가속도계 노이즈 과다,진동/충격으로 인한 센서 데이터 오염,"진동 완화(패드/다이슈킨), IMU 필터(IMU_FILTER) 조정",진동이 심한 엔진/모터 장착 시,ekf2_params.yaml
PX4,EKF2_VEL_IMBAL,속도 추정 불안정,IMU와 GPS 속도 불일치,"EKF2_GYRO_NOISE 및 EKF2_ACCEL_NOISE 증가, 센서 교체",고속 회전 또는 급가속 시,ekf2_params.yaml
PX4,NAV_DLL_ACT,드론 자동 RTL(귀환) 실패,RTL 시 경로 계획 실패 또는 충돌 위험,"RTL_RETURN_ALT 늘리기, 장애물 회피 활성화",배터리 부족 또는 통신 손실 시 자동 귀환,navigator_params.yaml
ArduPilot,System not initialised,System not initialised,,,,AP_Arming_Copter.cpp
ArduPilot,Interlock/E-Stop Conflict,Interlock/E-Stop Conflict,,,,AP_Arming_Copter.cpp
ArduPilot,Motor Interlock Enabled,Motor Interlock Enabled,,,,AP_Arming_Copter.cpp
ArduPilot,Motors: %s,Motors: %s,,,,AP_Arming_Copter.cpp
ArduPilot,AROT: %s,AROT: %s,,,,AP_Arming_Copter.cpp
